First,Last,State,Party
 Ron ,Estes,Kansas,Republican
 Dwight ,Evans,Pennsylvania,Democratic
 Pat ,Fallon,Texas,Republican
 Randy ,Feenstra,Iowa,Republican
 Dianne ,Feinstein,California,Democratic
 A. Drew ,Ferguson,Georgia,Republican
 Brad ,Finstad,Minnesota,Republican
 Michelle ,Fischbach,Minnesota,Republican
 Deb ,Fischer,Nebraska,Republican
 Scott ,Fitzgerald,Wisconsin,Republican
 Brian K. ,Fitzpatrick,Pennsylvania,Republican
" Charles J. ""Chuck"" ",Fleischmann,Tennessee,Republican
 Lizzie ,Fletcher,Texas,Democratic
 Mike ,Flood,Nebraska,Republican
 Mayra ,Flores,Texas,Republican
 Jeff ,Fortenberry,Nebraska,Republican
 Bill ,Foster,Illinois,Democratic
 Virginia ,Foxx,North Carolina,Republican
 Lois ,Frankel,Florida,Democratic
 Scott ,Franklin,Florida,Republican
 Marcia L. ,Fudge,Ohio,Democratic
 Russ ,Fulcher,Idaho,Republican
 Matt ,Gaetz,Florida,Republican
 Mike ,Gallagher,Wisconsin,Republican
 Ruben ,Gallego,Arizona,Democratic
 John ,Garamendi,California,Democratic
 Andrew R. ,Garbarino,New York,Republican
" Jesús G. ""Chuy"" ",García,Illinois,Democratic
 Mike ,Garcia,California,Republican
 Sylvia R. ,Garcia,Texas,Democratic
 Bob ,Gibbs,Ohio,Republican
 Kirsten E. ,Gillibrand,New York,Democratic
 Carlos A. ,Gimenez,Florida,Republican
 Louie ,Gohmert,Texas,Republican
 Jared F. ,Golden,Maine,Democratic
 Jimmy ,Gomez,California,Democratic
 Tony ,Gonzales,Texas,Republican
 Anthony ,Gonzalez,Ohio,Republican
 Vicente ,Gonzalez,Texas,Democratic
,González,Puerto Rico,Republican
 Bob ,Good,Virginia,Republican
 Lance ,Gooden,Texas,Republican
 Paul A. ,Gosar,Arizona,Republican
 Josh ,Gottheimer,New Jersey,Democratic
 Lindsey ,Graham,South Carolina,Republican
 Kay ,Granger,Texas,Republican
 Chuck ,Grassley,Iowa,Republican
 Garret ,Graves,Louisiana,Republican
 Sam ,Graves,Missouri,Republican
 Al ,Green,Texas,Democratic
 Mark E. ,Green,Tennessee,Republican
 Marjorie Taylor ,Greene,Georgia,Republican
 H. Morgan ,Griffith,Virginia,Republican
 Raúl M. ,Grijalva,Arizona,Democratic
 Glenn ,Grothman,Wisconsin,Republican
 Michael ,Guest,Mississippi,Republican
 Brett ,Guthrie,Kentucky,Republican
 Debra A. ,Haaland,New Mexico,Democratic
 Jim ,Hagedorn,Minnesota,Republican
 Bill ,Hagerty,Tennessee,Republican
 Josh ,Harder,California,Democratic
 Andy ,Harris,Maryland,Republican
 Kamala D. ,Harris,California,Democratic
 Diana ,Harshbarger,Tennessee,Republican
 Vicky ,Hartzler,Missouri,Republican
 Margaret Wood ,Hassan,New Hampshire,Democratic
 Alcee L. ,Hastings,Florida,Democratic
 Josh ,Hawley,Missouri,Republican
 Jahana ,Hayes,Connecticut,Democratic
 Martin ,Heinrich,New Mexico,Democratic
 Kevin ,Hern,Oklahoma,Republican
 Yvette ,Herrell,New Mexico,Republican
 Jaime ,Herrera Beutler,Washington,Republican
 Jody B. ,Hice,Georgia,Republican
 John W. ,Hickenlooper,Colorado,Democratic
 Brian ,Higgins,New York,Democratic
 Clay ,Higgins,Louisiana,Republican
 J. French ,Hill,Arkansas,Republican
 James A. ,Himes,Connecticut,Democratic
 Ashley ,Hinson,Iowa,Republican
 Mazie K. ,Hirono,Hawaii,Democratic
 John ,Hoeven,North Dakota,Republican
 Trey ,Hollingsworth,Indiana,Republican
 Steven ,Horsford,Nevada,Democratic
 Chrissy ,Houlahan,Pennsylvania,Democratic
 Steny H. ,Hoyer,Maryland,Democratic
 Richard ,Hudson,North Carolina,Republican
 Jared ,Huffman,California,Democratic
 Bill ,Huizenga,Michigan,Republican
,Hyde,Mississippi,Republican
 James M. ,Inhofe,Oklahoma,Republican
 Darrell ,Issa,California,Republican
 Sheila ,Jackson Lee,Texas,Democratic
 Ronny ,Jackson,Texas,Republican
 Chris ,Jacobs,New York,Republican
 Sara ,Jacobs,California,Democratic
 Pramila ,Jayapal,Washington,Democratic
 Hakeem S. ,Jeffries,New York,Democratic
 Bill ,Johnson,Ohio,Republican
 Dusty ,Johnson,South Dakota,Republican
 Eddie Bernice ,Johnson,Texas,Democratic
" Henry C. ""Hank"" ",Johnson,Georgia,Democratic
 Mike ,Johnson,Louisiana,Republican
 Ron ,Johnson,Wisconsin,Republican
 Mondaire ,Jones,New York,Democratic
 Jim ,Jordan,Ohio,Republican
 David P. ,Joyce,Ohio,Republican
 John ,Joyce,Pennsylvania,Republican
 Kaiali'i ,Kahele,Hawaii,Democratic
 Tim ,Kaine,Virginia,Democratic
 Marcy ,Kaptur,Ohio,Democratic
 John ,Katko,New York,Republican
 William R. ,Keating,Massachusetts,Democratic
 Fred ,Keller,Pennsylvania,Republican
 Mark ,Kelly,Arizona,Democratic
 Mike ,Kelly,Pennsylvania,Republican
 Robin L. ,Kelly,Illinois,Democratic
 Trent ,Kelly,Mississippi,Republican
 John ,Kennedy,Louisiana,Republican
 Ro ,Khanna,California,Democratic
 Daniel T. ,Kildee,Michigan,Democratic
 Derek ,Kilmer,Washington,Democratic
 Andy ,Kim,New Jersey,Democratic
 Young ,Kim,California,Republican
 Ron ,Kind,Wisconsin,Democratic
 Angus S.,King,Maine,Independent
 Adam ,Kinzinger,Illinois,Republican
 Ann ,Kirkpatrick,Arizona,Democratic
 Amy ,Klobuchar,Minnesota,Democratic
 Raja ,Krishnamoorthi,Illinois,Democratic
 Ann M. ,Kuster,New Hampshire,Democratic
 David ,Kustoff,Tennessee,Republican
 Darin ,LaHood,Illinois,Republican
 Doug ,LaMalfa,California,Republican
 Conor ,Lamb,Pennsylvania,Democratic
 Doug ,Lamborn,Colorado,Republican
 James R. ,Langevin,Rhode Island,Democratic
 James ,Lankford,Oklahoma,Republican
 Rick ,Larsen,Washington,Democratic
 John B. ,Larson,Connecticut,Democratic
 Robert E. ,Latta,Ohio,Republican
 Jake ,LaTurner,Kansas,Republican
 Brenda L. ,Lawrence,Michigan,Democratic
 Al,Lawson,Florida,Democratic
 Patrick J. ,Leahy,Vermont,Democratic
 Barbara ,Lee,California,Democratic
 Mike ,Lee,Utah,Republican
 Susie ,Lee,Nevada,Democratic
 Teresa ,Leger Fernandez,New Mexico,Democratic
 Debbie ,Lesko,Arizona,Republican
 Julia ,Letlow,Louisiana,Republican
 Andy ,Levin,Michigan,Democratic
 Mike ,Levin,California,Democratic
 Ted ,Lieu,California,Democratic
 Kelly ,Loeffler,Georgia,Republican
 Zoe ,Lofgren,California,Democratic
 Billy ,Long,Missouri,Republican
 Barry ,Loudermilk,Georgia,Republican
 Alan S. ,Lowenthal,California,Democratic
 Frank D. ,Lucas,Oklahoma,Republican
 Blaine ,Luetkemeyer,Missouri,Republican
 Ben Ray ,Lujan,New Mexico,Democratic
 Cynthia M. ,Lummis,Wyoming,Republican
 Elaine G. ,Luria,Virginia,Democratic
